Tick;Step;Rule;speed;0_Position;1_Position;ID
135;135;;1;237;140;452f497d-cfb1-4464-b332-d24c335eec12
136;136;;1;230;141;a86667f6-76a5-440d-811a-9885aa6702b0
136;136;;1;237;141;452f497d-cfb1-4464-b332-d24c335eec12
137;137;;1;230;142;a86667f6-76a5-440d-811a-9885aa6702b0
137;137;;1;237;142;452f497d-cfb1-4464-b332-d24c335eec12
138;138;;1;230;143;a86667f6-76a5-440d-811a-9885aa6702b0
138;138;;1;237;143;452f497d-cfb1-4464-b332-d24c335eec12
139;139;;1;230;144;a86667f6-76a5-440d-811a-9885aa6702b0
139;139;;1;237;144;452f497d-cfb1-4464-b332-d24c335eec12
140;140;;1;230;145;a86667f6-76a5-440d-811a-9885aa6702b0
140;140;;1;237;145;452f497d-cfb1-4464-b332-d24c335eec12
141;141;;1;230;146;a86667f6-76a5-440d-811a-9885aa6702b0
141;141;;1;237;146;452f497d-cfb1-4464-b332-d24c335eec12
142;142;;1;230;147;a86667f6-76a5-440d-811a-9885aa6702b0
142;142;;1;237;147;452f497d-cfb1-4464-b332-d24c335eec12
143;143;;1;230;148;a86667f6-76a5-440d-811a-9885aa6702b0
143;143;;1;237;148;452f497d-cfb1-4464-b332-d24c335eec12
144;144;;1;230;149;a86667f6-76a5-440d-811a-9885aa6702b0
144;144;;1;237;149;452f497d-cfb1-4464-b332-d24c335eec12
145;145;;1;230;150;a86667f6-76a5-440d-811a-9885aa6702b0
145;145;;1;237;150;452f497d-cfb1-4464-b332-d24c335eec12
146;146;;1;230;151;a86667f6-76a5-440d-811a-9885aa6702b0
146;146;;1;237;151;452f497d-cfb1-4464-b332-d24c335eec12
147;147;;1;230;152;a86667f6-76a5-440d-811a-9885aa6702b0
147;147;;1;237;152;452f497d-cfb1-4464-b332-d24c335eec12
148;148;;1;230;153;a86667f6-76a5-440d-811a-9885aa6702b0
148;148;;1;237;153;452f497d-cfb1-4464-b332-d24c335eec12
149;149;;1;230;154;a86667f6-76a5-440d-811a-9885aa6702b0
149;149;;1;237;154;452f497d-cfb1-4464-b332-d24c335eec12
150;150;;1;230;155;a86667f6-76a5-440d-811a-9885aa6702b0
150;150;;1;237;155;452f497d-cfb1-4464-b332-d24c335eec12
151;151;;1;230;156;a86667f6-76a5-440d-811a-9885aa6702b0
151;151;;1;237;156;452f497d-cfb1-4464-b332-d24c335eec12
152;152;;1;230;157;a86667f6-76a5-440d-811a-9885aa6702b0
152;152;;1;237;157;452f497d-cfb1-4464-b332-d24c335eec12
153;153;;1;230;158;a86667f6-76a5-440d-811a-9885aa6702b0
153;153;;1;237;158;452f497d-cfb1-4464-b332-d24c335eec12
154;154;;1;230;159;a86667f6-76a5-440d-811a-9885aa6702b0
154;154;;1;237;159;452f497d-cfb1-4464-b332-d24c335eec12
155;155;;1;230;160;a86667f6-76a5-440d-811a-9885aa6702b0
155;155;;1;237;160;452f497d-cfb1-4464-b332-d24c335eec12
156;156;;1;230;161;a86667f6-76a5-440d-811a-9885aa6702b0
156;156;;1;237;161;452f497d-cfb1-4464-b332-d24c335eec12
157;157;;1;230;162;a86667f6-76a5-440d-811a-9885aa6702b0
157;157;;1;237;162;452f497d-cfb1-4464-b332-d24c335eec12
158;158;;1;230;163;a86667f6-76a5-440d-811a-9885aa6702b0
158;158;;1;237;163;452f497d-cfb1-4464-b332-d24c335eec12
159;159;;1;230;164;a86667f6-76a5-440d-811a-9885aa6702b0
159;159;;1;237;164;452f497d-cfb1-4464-b332-d24c335eec12
160;160;;1;230;165;a86667f6-76a5-440d-811a-9885aa6702b0
160;160;;1;237;165;452f497d-cfb1-4464-b332-d24c335eec12
