Tick;Step;Rule;speed;0_Position;1_Position;ID
24;24;;1.5;92;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
24;24;;1.5;90;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
24;24;;1.5;23;22;4fd36160-e387-4502-b545-41e9ecd02684
25;25;;1.5;117;7;6a51b22d-3640-40f2-91e3-95587ea6605a
25;25;;1.5;157;3;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
25;25;;1.5;224;21;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
25;25;;1.5;155;3;0193dabb-4810-4d11-842b-6ba905240ebb
25;25;;1.5;23;20;b7fd22e4-83af-4875-99e4-a04860578d25
25;25;;1.5;25;27;b7779038-56d6-4363-929f-aef47f760de4
25;25;;1.5;22;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
25;25;;1.5;93;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
25;25;;1.5;91;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
25;25;;1.5;24;22;4fd36160-e387-4502-b545-41e9ecd02684
26;26;;1.5;118;7;6a51b22d-3640-40f2-91e3-95587ea6605a
26;26;;1.5;158;4;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
26;26;;1.5;225;22;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
26;26;;1.5;156;4;0193dabb-4810-4d11-842b-6ba905240ebb
26;26;;1.5;24;20;b7fd22e4-83af-4875-99e4-a04860578d25
26;26;;1.5;26;27;b7779038-56d6-4363-929f-aef47f760de4
26;26;;1.5;23;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
26;26;;1.5;94;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
26;26;;1.5;92;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
26;26;;1.5;25;22;4fd36160-e387-4502-b545-41e9ecd02684
27;27;;1.5;119;7;6a51b22d-3640-40f2-91e3-95587ea6605a
27;27;;1.5;159;5;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
27;27;;1.5;226;23;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
27;27;;1.5;157;5;0193dabb-4810-4d11-842b-6ba905240ebb
27;27;;1.5;25;20;b7fd22e4-83af-4875-99e4-a04860578d25
27;27;;1.5;27;27;b7779038-56d6-4363-929f-aef47f760de4
27;27;;1.5;24;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
27;27;;1.5;95;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
27;27;;1.5;93;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
27;27;;1.5;26;22;4fd36160-e387-4502-b545-41e9ecd02684
28;28;;1.5;120;7;6a51b22d-3640-40f2-91e3-95587ea6605a
28;28;;1.5;160;6;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
28;28;;1.5;227;24;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
28;28;;1.5;158;6;0193dabb-4810-4d11-842b-6ba905240ebb
28;28;;1.5;26;20;b7fd22e4-83af-4875-99e4-a04860578d25
28;28;;1.5;28;27;b7779038-56d6-4363-929f-aef47f760de4
28;28;;1.5;25;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
28;28;;1.5;96;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
28;28;;1.5;94;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
28;28;;1.5;27;22;4fd36160-e387-4502-b545-41e9ecd02684
29;29;;1.5;121;7;6a51b22d-3640-40f2-91e3-95587ea6605a
29;29;;1.5;161;7;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
29;29;;1.5;227;25;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
29;29;;1.5;159;7;0193dabb-4810-4d11-842b-6ba905240ebb
29;29;;1.5;27;20;b7fd22e4-83af-4875-99e4-a04860578d25
29;29;;1.5;29;27;b7779038-56d6-4363-929f-aef47f760de4
29;29;;1.5;26;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
29;29;;1.5;97;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
29;29;;1.5;95;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
29;29;;1.5;28;22;4fd36160-e387-4502-b545-41e9ecd02684
30;30;;1.5;122;7;6a51b22d-3640-40f2-91e3-95587ea6605a
30;30;;1.5;162;8;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
30;30;;1.5;227;26;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
30;30;;1.5;160;8;0193dabb-4810-4d11-842b-6ba905240ebb
30;30;;1.5;28;20;b7fd22e4-83af-4875-99e4-a04860578d25
30;30;;1.5;30;27;b7779038-56d6-4363-929f-aef47f760de4
30;30;;1.5;27;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
30;30;;1.5;98;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
30;30;;1.5;96;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
30;30;;1.5;29;22;4fd36160-e387-4502-b545-41e9ecd02684
31;31;;1.5;123;7;6a51b22d-3640-40f2-91e3-95587ea6605a
31;31;;1.5;163;9;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
31;31;;1.5;227;27;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
31;31;;1.5;161;9;0193dabb-4810-4d11-842b-6ba905240ebb
31;31;;1.5;29;20;b7fd22e4-83af-4875-99e4-a04860578d25
31;31;;1.5;31;27;b7779038-56d6-4363-929f-aef47f760de4
31;31;;1.5;28;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
31;31;;1.5;99;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
31;31;;1.5;97;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
31;31;;1.5;30;22;4fd36160-e387-4502-b545-41e9ecd02684
32;32;;1.5;124;7;6a51b22d-3640-40f2-91e3-95587ea6605a
32;32;;1.5;164;10;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
32;32;;1.5;227;28;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
32;32;;1.5;162;10;0193dabb-4810-4d11-842b-6ba905240ebb
32;32;;1.5;30;20;b7fd22e4-83af-4875-99e4-a04860578d25
32;32;;1.5;32;27;b7779038-56d6-4363-929f-aef47f760de4
32;32;;1.5;29;24;596f26b4-de5f-4927-a4b7-43eb97bfb856
32;32;;1.5;100;9;f46217e6-e02d-4e24-b444-a5c7ef3ab11f
32;32;;1.5;98;1;bdbbabf5-d97f-46bc-b016-9631c0123a39
32;32;;1.5;31;22;4fd36160-e387-4502-b545-41e9ecd02684
33;33;;1.5;125;7;6a51b22d-3640-40f2-91e3-95587ea6605a
33;33;;1.5;165;11;f4a5e6cd-7c1e-48d6-85ff-aca4ab4174b4
33;33;;1.5;227;29;0b2fa3e8-06d4-4007-b2d8-8eb6d1ef0b4e
33;33;;1.5;163;11;0193dabb-4810-4d11-842b-6ba905240ebb
33;33;;1.5;31;20;b7fd22e4-83af-4875-99e4-a04860578d25
33;33;;1.5;33;27;b7779038-56d6-4363-929f-aef47f760de4
